Term,Class ID,Coach,Venue,Start Time,AM/PM,Day of Week,Age,Full Enrolments,Number of Waitlists,Total (including waitlist),Quota
2026 Term 2,26T2-WL6011,Hamad,Wo Liu Hang Playground,10:00,AM,Sat,Playgroup,5,0,5,10
2026 Term 2,26T2-WL6031,Hamad,Wo Liu Hang Playground,11:00,AM,Sat,Explorers,6,0,6,10
2026 Term 2,26T2-BB2021,Francis,Belchers Bay Park,9:00,AM,Tue,Mini-Tots,1,0,1,10
2026 Term 2,26T2-BB2011,Francis,Belchers Bay Park,10:00,AM,Tue,Playgroup,3,0,3,10
2026 Term 2,26T2-BB5121,Francis,Belchers Bay Park,15:20,PM,Fri,Mini-Tots,3,0,3,10
2026 Term 2,26T2-BB5111,Francis,Belchers Bay Park,16:10,PM,Fri,Playgroup,7,0,7,10
2026 Term 2,26T2-BB5131,Francis,Belchers Bay Park,17:00,PM,Fri,Explorers,3,0,3,10
2026 Term 2,26T2-VP1021,Michael B,Victoria Park,9:00,AM,Mon,Mini-Tots,7,0,7,10
2026 Term 2,26T2-VP1011,Michael B,Victoria Park,10:00,AM,Mon,Playgroup,4,0,4,10
2026 Term 2,26T2-VP1111,Alastair,Victoria Park,15:20,PM,Mon,Playgroup,4,0,4,10
2026 Term 2,26T2-VP1121,Alastair,Victoria Park,16:10,PM,Mon,Mini-Tots,9,1,10,10
2026 Term 2,26T2-VP1131,Alastair,Victoria Park,17:00,PM,Mon,Explorers,5,0,5,10
2026 Term 2,26T2-VP2021,Michael B,Victoria Park,9:00,AM,Tue,Mini-Tots,6,0,6,10
2026 Term 2,26T2-VP2011,Michael B,Victoria Park,10:00,AM,Tue,Playgroup,8,0,8,10
2026 Term 2,26T2-VP2121,Daniel,Victoria Park,15:20,PM,Tue,Mini-Tots,8,0,8,10
2026 Term 2,26T2-VP2111,Daniel,Victoria Park,16:10,PM,Tue,Playgroup,10,9,19,10
2026 Term 2,26T2-VP2122,Daniel,Victoria Park,17:00,PM,Tue,Mini-Tots,10,4,14,10
2026 Term 2,26T2-VP3011,Alastair,Victoria Park,9:00,AM,Wed,Playgroup,6,0,6,10
2026 Term 2,26T2-VP3021,Alastair,Victoria Park,10:00,AM,Wed,Mini-Tots,7,0,7,10
2026 Term 2,26T2-VP3121,Daniel,Victoria Park,15:20,PM,Wed,Mini-Tots,3,0,3,10
2026 Term 2,26T2-VP3122,Daniel,Victoria Park,16:10,PM,Wed,Mini-Tots,10,6,16,10
2026 Term 2,26T2-VP3131,Daniel,Victoria Park,17:00,PM,Wed,Explorers,8,0,8,10
2026 Term 2,26T2-VP4131,Grant,Victoria Park,15:20,PM,Thu,Explorers,6,0,6,10
2026 Term 2,26T2-VP4111,Grant,Victoria Park,16:10,PM,Thu,Playgroup,8,0,8,10
2026 Term 2,26T2-VP4121,Grant,Victoria Park,17:00,PM,Thu,Mini-Tots,7,0,7,10
2026 Term 2,26T2-VP5011,Jake,Victoria Park,9:00,AM,Fri,Playgroup,4,0,4,10
2026 Term 2,26T2-VP5021,Jake,Victoria Park,10:00,AM,Fri,Mini-Tots,0,0,0,10
2026 Term 2,26T2-VP5131,Dan,Victoria Park,15:20,PM,Fri,Explorers,7,0,7,10
2026 Term 2,26T2-VP5121,Dan,Victoria Park,16:10,PM,Fri,Mini-Tots,9,0,9,10
2026 Term 2,26T2-VP5111,Dan,Victoria Park,17:00,PM,Fri,Playgroup,2,0,2,10
2026 Term 2,26T2-VP6021,Mike,Victoria Park,9:00,AM,Sat,Mini-Tots,5,0,5,10
2026 Term 2,26T2-VP6011,Dan,Victoria Park,9:00,AM,Sat,Playgroup,9,0,9,10
2026 Term 2,26T2-VP6031,Daniel,Victoria Park,9:00,AM,Sat,Explorers,6,0,6,10
2026 Term 2,26T2-VP6022,Mike,Victoria Park,10:00,AM,Sat,Mini-Tots,10,9,19,10
2026 Term 2,26T2-VP6032,Dan,Victoria Park,10:00,AM,Sat,Explorers,9,0,9,10
2026 Term 2,26T2-VP6012,Daniel,Victoria Park,10:00,AM,Sat,Playgroup,10,6,16,10
2026 Term 2,26T2-VP6013,Mike,Victoria Park,11:00,AM,Sat,Playgroup,6,0,6,10
2026 Term 2,26T2-VP6023,Dan,Victoria Park,11:00,AM,Sat,Mini-Tots,9,5,14,10
2026 Term 2,26T2-VP6024,Daniel,Victoria Park,11:00,AM,Sat,Mini-Tots,10,8,18,10
2026 Term 2,26T2-VP7021,Alastair,Victoria Park,9:00,AM,Sun,Mini-Tots,7,0,7,10
2026 Term 2,26T2-VP7011,Alastair,Victoria Park,10:00,AM,Sun,Playgroup,9,0,9,10
2026 Term 2,26T2-VP7031,Alastair,Victoria Park,11:00,AM,Sun,Explorers,2,0,2,10
